"DEV_ID","DEV_NAME","DEV_TYPE","DEV_DATE","STA_LAT_DMS","STA_LONG_DMS","STA_ELEV","STA_LOC"
4507.00,"Gateway Community College","Temperature",9/9/2004 0:00:00,"33 27 03.6","111 59 44.0",1125.00,"40th Street at Van Buren"
4510.00,"Roeser Rd. @ 2nd St.","Precip.",2/12/1991 0:00:00,"33 24 00.1","111 59 44.0",1080.00,"1/2 mi. SSE of Broadway Rd. and Central Ave."
4515.00,"Salt R. @ 40th St.","Precip.",3/22/1996 0:00:00,"33 25 33.9","111 59 44.5",1120.00,"South side of Salt River near 40th St."
4520.00,"Salt R. @ Priest Dr.","Precip.",9/21/1995 0:00:00,"33 26 02.3","111 57 40.8",1140.00,"West side of Salt River bridge at Priest Drive"
4523.00,"Salt R. @ Priest Dr.","Non Subm PT",12/7/1993 0:00:00,"33 26 02.3","111 57 40.8",1140.00,"West side of Salt River bridge at Priest Drive"
4525.00,"ASU South","Precip.",7/14/1995 0:00:00,"33 24 46.7","111 55 51.1",1165.00,"1/4 mi. NNE of Broadway Rd. and Mill Ave."
4530.00,"Kleinman Park","Precip.",3/26/1991 0:00:00,"33 24 03.1","111 51 07.0",1220.00,"1/2 mi. SE of Broadway Rd. and Alma School Rd."
4540.00,"Fitch Park","Precip.",3/27/1991 0:00:00,"33 25 41.2","111 49 37.2",1245.00,"1/2 mi. N of University Dr. and Center St."
4545.00,"Salt R. @ Val Vista Dr.","Precip.",4/13/2011 0:00:00,"33 29 03.4","111 45 44.1",1260.00,"1/2 mile W of Val Vista and the Salt River"
4548.00,"Salt R. @ Val Vista Dr.","Stream PT",4/13/2011 0:00:00,"33 29 03.4","111 45 44.1",1260.00,"1/2 mile W of Val Vista and the Salt River"
4550.00,"Mountain View Park","Precip.",3/21/1991 0:00:00,"33 25 50.3","111 46 13.6",1280.00,"1/2 mi. N of University Dr. and Lindsay Rd."
4555.00,"Falcon Field","Precip.",10/1/1995 0:00:00,"33 27 16.5","111 43 45.5",1370.00,"1/4 mi. NE of McKellips Rd. & Greenfield Rd."
4560.00,"Spookhill FRS","Precip.",3/13/1984 0:00:00,"33 28 22.7","111 40 53.9",1580.00,"1/2 mi. N. of McDowell Rd. and Bush Highway"
4563.00,"Spookhill FRS","Stream PT",3/13/1984 0:00:00,"33 28 22.7","111 40 53.9",1580.00,"1/2 mi. N. of McDowell Rd. and Bush Highway"
4565.00,"Granite Reef Diversion","Precip.",7/21/2005 0:00:00,"33 30 43.0","111 41 01.9",1330.00,"Bush Highway at Granite Reef Dam"
4568.00,"Granite Reef Diversion","Stream PT",7/21/2005 0:00:00,"33 30 43.0","111 41 01.9",1330.00,"Bush Highway at Granite Reef Dam"
4570.00,"Price Drain @ Loop 202","Precip.",2/13/2001 0:00:00,"33 26 03.7","111 53 25.1",1195.00,"Loop 202 at Loop 101"
4573.00,"Price Drain @ Loop 202","Stream PT",2/13/2001 0:00:00,"33 26 03.7","111 53 25.1",1195.00,"Loop 202 at Loop 101"
4575.00,"Laveen Basin","Precip.",11/7/2006 0:00:00,"33 23 25.3","112 09 02.7",1015.00,"Southern Ave. at 43rd Ave."
4578.00,"Laveen Basin","Stream PT",11/7/2006 0:00:00,"33 23 25.3","112 09 02.7",1015.00,"Southern Ave. at 43rd Ave."
4580.00,"Salt River Landfill","Precip.",1/30/1998 0:00:00,"33 30 18.4","111 47 13.7",1290.00,"1/4 mi. N of Gilbert Road at Beeline Highway"
4583.00,"Salt R. blw. Granite Reef","Stream PT",4/2/2012 0:00:00,"33 30 53.5","111 41 56.4",1295.00,"1/2 mi. W of Granite Reef Diversion Dam"
4585.00,"Reata Pass Wash","Precip.",5/15/2001 0:00:00,"33 41 52.9","111 51 50.6",2175.00,"1.6 miles east of Pima Rd. on Pinnacle Peak Road"
4588.00,"Reata Pass Wash","Stream PT",5/15/2001 0:00:00,"33 41 52.9","111 51 50.6",2175.00,"1.6 miles east of Pima Rd. on Pinnacle Peak Road"
4590.00,"Pima Rd. @ Union Hills Dr.","Precip.",10/22/1997 0:00:00,"33 39 16.8","111 53 43.8",1625.00,"1/4 mile West of Pima Rd. & Union Hills"
4595.00,"Pinnacle Peak Vista","Precip.",4/21/1998 0:00:00,"33 40 04.5","111 52 01.4",1810.00,"1/2 mile SSE of Deer Valley Rd. and Pima Rd."
4600.00,"IBW @ McKellips Rd.","Precip.",7/15/1985 0:00:00,"33 26 57.2","111 54 53.4",1190.00,"On Indian Bend Wash 1/4 mi. South of McKellips"
4603.00,"IBW @ McKellips Rd.","Bubbler",11/10/1987 0:00:00,"33 26 57.2","111 54 53.4",1190.00,"On Indian Bend Wash 1/4 mi. South of McKellips"
4605.00,"Osborn Rd. @ 64th St.","Precip.",10/22/1997 0:00:00,"33 29 06.4","111 56 33.6",1255.00,"200 yards South of Osborn Rd. @ 64th St."
4609.00,"Osborn Rd. @ 64th St.","Peak Wind",1/16/1998 0:00:00,"33 29 06.4","111 56 33.6",1255.00,"200 yards South of Osborn Rd. @ 64th St."
4610.00,"IBW @ Indian Bend Rd.","Precip.",3/25/1992 0:00:00,"33 32 04.0","111 54 51.2",1280.00,"On Indian Bend Wash just S. of Indian Bend Rd."
4612.00,"Osborn Rd. @ 64th St.","Wind Spd/Dir",1/16/1998 0:00:00,"33 29 06.4","111 56 33.6",1255.00,"200 yards South of Osborn Rd. @ 64th St."
4613.00,"IBW @ Indian Bend Rd.","Non Subm PT",10/15/1992 0:00:00,"33 32 04.0","111 54 51.2",1280.00,"On Indian Bend Wash just S. of Indian Bend Rd."
4614.00,"Osborn Rd. @ 64th St.","Dewpoint",1/21/1998 0:00:00,"33 29 06.4","111 56 33.6",1255.00,"200 yards South of Osborn Rd. @ 64th St."
4615.00,"IBW @ Indian School Rd.","Precip.",11/26/1997 0:00:00,"33 29 42.3","111 54 40.4",1240.00,"Indian School Rd. at Hayden Road"
4616.00,"Osborn Rd. @ 64th St.","Humidity",1/16/1998 0:00:00,"33 29 06.4","111 56 33.6",1255.00,"200 yards South of Osborn Rd. @ 64th St."
4617.00,"Osborn Rd. @ 64th St.","Temperature",1/16/1998 0:00:00,"33 29 06.4","111 56 33.6",1255.00,"200 yards South of Osborn Rd. @ 64th St."
4618.00,"IBW @ Indian School Rd.","Stream PT",11/26/1997 0:00:00,"33 29 42.3","111 54 40.4",1240.00,"Indian School Rd. at Hayden Road"
4620.00,"IBW Interceptor Channel","Precip.",9/28/1983 0:00:00,"33 31 59.4","111 53 52.4",1280.00,"1/4 mi. SW of Pima Rd. & Indian Bend Rd."
4622.00,"Osborn Rd. @ 64th St.","Wind Dir.",5/26/1998 0:00:00,"33 29 06.4","111 56 33.6",1255.00,"200 yards South of Osborn Rd. @ 64th St."
4623.00,"IBW Interceptor Channel","Stream PT",4/21/1994 0:00:00,"33 31 59.4","111 53 52.4",1280.00,"1/4 mi. SW of Pima Rd. & Indian Bend Rd."
4625.00,"Highland Ave. @ 68th St.","Precip.",11/13/1997 0:00:00,"33 30 28.0","111 56 11.0",1320.00,"1/4 mile N. of Highland and 68th Street"
4628.00,"IBW @ McDonald Dr.","Stream PT",11/25/1997 0:00:00,"33 31 26.6","111 54 35.8",1275.00,"McDonald Drive at Hayden Road"
4630.00,"Thunderbird Academy","Precip.",1/1/1982 0:00:00,"33 36 38.0","111 55 20.8",1430.00,"1/4 mi. ESE of Thunderbird Rd. and Scottsdale Rd."
4635.00,"Tatum Basin Inflow","Precip.",6/3/1994 0:00:00,"33 34 54.1","111 59 04.3",1405.00,"Near Shea Blvd and 40th St."
4638.00,"Tatum Basin Inflow","Stream PT",6/3/1994 0:00:00,"33 34 54.1","111 59 04.3",1405.00,"Near Shea Blvd and 40th St."
4640.00,"IBW @ Sweetwater Ave.","Precip.",12/27/1990 0:00:00,"33 36 13.3","112 00 16.1",1395.00,"1/2 mi. E of 32nd St. and Sweetwater Ave."
4643.00,"IBW @ Sweetwater Ave.","Stream PT",12/27/1990 0:00:00,"33 36 13.3","112 00 16.1",1395.00,"1/2 mi. E of 32nd St. and Sweetwater Ave."
4645.00,"East Fork Cave Cr. Basin #1","Precip.",3/2/1994 0:00:00,"33 40 11.3","112 01 31.3",1495.00,"1/4 mi. E of Beardsley Rd. and Cave Creek Rd."
4648.00,"East Fork Cave Cr. Basin #1","Stream PT",3/2/1994 0:00:00,"33 40 11.3","112 01 31.3",1495.00,"1/4 mi. E of Beardsley Rd. and Cave Creek Rd."
4650.00,"Paradise Valley Park","Precip.",2/27/1989 0:00:00,"33 39 17.3","112 00 25.8",1490.00,"1/2 mi. E of Union Hills Dr. and 32nd St."
4653.00,"Tatum Basin Outflow","Stream PT",5/8/1998 0:00:00,"33 34 56.8","111 59 01.7",1385.00,"Near Shea Blvd and 44th St."
4655.00,"East Fork Cave Cr. Basin #4","Precip.",1/18/1994 0:00:00,"33 38 56.6","112 00 37.5",1465.00,"1/4 mi. S of Union Hills Dr. and 32nd St."
4658.00,"East Fork Cave Cr. Basin #4","Stream PT",1/18/1994 0:00:00,"33 38 56.6","112 00 37.5",1465.00,"1/4 mi. S of Union Hills Dr. and 32nd St."
4660.00,"Lost Dog Wash","Precip.",7/13/1990 0:00:00,"33 35 17.5","111 48 23.0",1640.00,"1/2 mi. NNW of Shea Blvd. and 128th St."
4664.00,"Pima Rd. @ Jomax Rd.","Peak Wind",6/26/1997 0:00:00,"33 43 42.3","111 53 35.7",2180.00,"1/8 mi. NW of Pima Rd. and Jomax Rd."
4665.00,"East Fork Cave Cr. near 7th Ave.","Precip.",5/21/1997 0:00:00,"33 37 40.6","112 04 50.7",1340.00,"Near 7th Ave., 1/2 mile south of Greenway Rd."
4667.00,"Pima Rd. @ Jomax Rd.","Wind Spd/Dir",6/26/1997 0:00:00,"33 43 42.3","111 53 35.7",2180.00,"1/8 mi. NW of Pima Rd. and Jomax Rd."
4668.00,"East Fork Cave Cr. near 7th Ave.","Stream PT",5/21/1997 0:00:00,"33 37 40.6","112 04 50.7",1340.00,"Near 7th Ave., 1/2 mile south of Greenway Rd."
4669.00,"Pima Rd. @ Jomax Rd.","Dewpoint",6/26/1997 0:00:00,"33 43 42.3","111 53 35.7",2180.00,"1/8 mi. NW of Pima Rd. and Jomax Rd."
4670.00,"Pima Rd. @ Jomax Rd.","Precip.",5/6/1993 0:00:00,"33 43 42.3","111 53 35.7",2180.00,"1/8 mi. NW of Pima Rd. and Jomax Rd."
4671.00,"Pima Rd. @ Jomax Rd.","Humidity",6/26/1997 0:00:00,"33 43 42.3","111 53 35.7",2180.00,"1/8 mi. NW of Pima Rd. and Jomax Rd."
4672.00,"Pima Rd. @ Jomax Rd.","Temperature",6/26/1997 0:00:00,"33 43 42.3","111 53 35.7",2180.00,"1/8 mi. NW of Pima Rd. and Jomax Rd."
4673.00,"Pima Rd. @ Jomax Rd.","Solar Rad.",6/26/1997 0:00:00,"33 43 42.3","111 53 35.7",2180.00,"1/8 mi. NW of Pima Rd. and Jomax Rd."
4674.00,"Pima Rd. @ Jomax Rd.","Pressure",6/26/1997 0:00:00,"33 43 42.3","111 53 35.7",2180.00,"1/8 mi. NW of Pima Rd. and Jomax Rd."
4675.00,"Lake Margherite","Precip.",11/25/1997 0:00:00,"33 33 49.2","111 53 59.0",1325.00,"1/2 mi. SE of Scottsdale Rd. and Shea Blvd."
4677.00,"Pima Rd. @ Jomax Rd.","Wind Dir.",5/1/2001 0:00:00,"33 43 42.3","111 53 35.7",2180.00,"1/8 mi. NW of Pima Rd. and Jomax Rd."
4678.00,"Lake Margherite","Stream PT",11/25/1997 0:00:00,"33 33 49.2","111 53 59.0",1325.00,"1/2 mi. SE of Scottsdale Rd. and Shea Blvd."
4680.00,"East Fork Cave Cr. Basin #3","Precip.",9/13/1994 0:00:00,"33 38 45.9","112 02 21.0",1430.00,"1/2 mi. SW of Union Hills Dr. and Cave Creek Rd."
4683.00,"East Fork Cave Cr. Basin #3","Stream PT",9/13/1994 0:00:00,"33 38 45.9","112 02 21.0",1430.00,"1/2 mi. SW of Union Hills Dr. and Cave Creek Rd."
4685.00,"Berneil Wash","Precip.",7/30/1998 0:00:00,"33 33 57.9","111 56 19.8",1325.00,"East of Doubletree and Invergordon"
4688.00,"Berneil Wash","Stream PT",7/30/1998 0:00:00,"33 33 57.9","111 56 19.8",1325.00,"East of Doubletree and Invergordon"
4690.00,"IBW @ Shea Blvd.","Precip.",6/9/1998 0:00:00,"33 34 53.0","111 58 06.2",1360.00,"Shea Blvd. At 52nd Street"
4693.00,"IBW @ Shea Blvd.","Stream PT",6/9/1998 0:00:00,"33 34 53.0","111 58 06.2",1360.00,"Shea Blvd. At 52nd Street"
4694.00,"Durango Complex","Peak Wind",6/24/1993 0:00:00,"33 25 35.9","112 07 07.0",1050.00,"27th Ave. and Durango St."
4695.00,"Aztec Park","Precip.",2/3/1998 0:00:00,"33 36 36.2","111 51 55.6",1465.00,"Near Thunderbird at Frank Lloyd Wright Blvd."
4697.00,"Durango Complex","Wind Spd/Dir",11/16/1991 0:00:00,"33 25 35.9","112 07 07.0",1050.00,"27th Ave. and Durango St."
4698.00,"Durango Complex","Dewpoint",7/5/1994 0:00:00,"33 25 35.9","112 07 07.0",1050.00,"27th Ave. and Durango St."
4700.00,"Durango Complex","Precip.",6/23/1980 0:00:00,"33 25 35.9","112 07 07.0",1050.00,"27th Ave. and Durango St."
4701.00,"Durango Complex","Humidity",12/9/1991 0:00:00,"33 25 35.9","112 07 07.0",1050.00,"27th Ave. and Durango St."
4702.00,"Durango Complex","Temperature",10/4/1991 0:00:00,"33 25 35.9","112 07 07.0",1050.00,"27th Ave. and Durango St."
4703.00,"Durango Complex","Solar Rad.",11/29/1994 0:00:00,"33 25 35.9","112 07 07.0",1050.00,"27th Ave. and Durango St."
4704.00,"Durango Complex","Pressure",11/4/1991 0:00:00,"33 25 35.9","112 07 07.0",1050.00,"27th Ave. and Durango St."
4707.00,"Durango Complex","Wind Dir.",5/1/2001 0:00:00,"33 25 35.9","112 07 07.0",1050.00,"27th Ave. and Durango St."
4710.00,"Jackson St. @ 7th Ave.","Precip.",1/29/1991 0:00:00,"33 26 48.1","112 04 46.2",1080.00,"County Building, 7th Ave. and Jackson St."
4715.00,"Grand Ave. @ 27th Ave.","Precip.",10/11/1996 0:00:00,"33 28 50.1","112 06 55.4",1090.00,"1/4 mile S of Grand Ave. and Thomas Rd."
4720.00,"Thomas Rd. @ 16th St.","Precip.",1/17/1991 0:00:00,"33 28 39.7","112 02 29.3",1120.00,"16 th St. at Thomas Rd."
4725.00,"Granite Reef Wash","Precip.",6/26/2007 0:00:00,"33 27 57.6","111 53 54.7",1195.00,"McDowell Rd. 200 yards east of Granite Reef"
4728.00,"Granite Reef Wash","Stream PT",6/26/2007 0:00:00,"33 27 57.6","111 53 54.7",1195.00,"McDowell Rd. 200 yards east of Granite Reef"
4730.00,"Perry Park","Precip.",8/22/1990 0:00:00,"33 28 42.0","112 00 51.9",1155.00,"1/8 mi. S of Thomas Rd. and 32nd St."
4740.00,"Papago Park","Precip.",8/15/1990 0:00:00,"33 27 35.1","111 58 05.8",1210.00,"1/4 mi. S of McDowell Rd. and 52nd St."
4745.00,"Old Crosscut Canal @ McDowell Rd.","Precip.",7/27/1994 0:00:00,"33 27 41.4","111 58 56.1",1175.00,"McDowell Rd. at Hohokam Expressway"
4748.00,"Old Crosscut Canal @ McDowell Rd.","Stream PT",7/27/1994 0:00:00,"33 27 41.4","111 58 56.1",1175.00,"McDowell Rd. at Hohokam Expressway"
4750.00,"Thomas Rd. @ 48th St.","Precip.",1/30/1991 0:00:00,"33 28 46.9","111 58 44.0",1205.00,"Thomas Rd. and 48th St."
4753.00,"Salt R. @ 51st Ave.","Non Subm PT",4/27/2011 0:00:00,"33 24 14.6","112 10 07.5",1010.00,"Salt River at 51st Ave."
4755.00,"Salt River @ 67th Ave.","Precip.",4/23/1998 0:00:00,"33 23 59.3","112 12 14.5",980.00,"67th Avenue and Roeser St. N of Salt River"
4757.00,"Salt/67th Flow","Status",7/14/2008 0:00:00,"33 23 51.8","112 12 12.6",975.00,"Salt River at 67th Avenue"
4758.00,"Salt/67th Flow","Stream PT",7/14/2008 0:00:00,"33 23 51.8","112 12 12.6",975.00,"Salt River at 67th Avenue"
4760.00,"Maryvale Municipal Golf Course","Precip.",8/17/1989 0:00:00,"33 29 55.1","112 11 16.0",1110.00,"1/4 mi. N of Indian School Rd. and 59th Ave."
4763.00,"Salt River @ 7th Ave.","Stream PT",1/25/2012 0:00:00,"33 25 03.2","112 04 57.4",1065.00,"SW corner of 7th Ave. at the Salt River"
4765.00,"Buckeye Rd. @ 75th Ave.","Precip.",8/1/1996 0:00:00,"33 26 28.3","112 13 18.9",1025.00,"1/4 mi. N. of Buckeye Rd. and 75th Ave."
4768.00,"City of Glendale","Solar Rad.",11/22/2010 0:00:00,"33 32 37.1","112 11 36.8",1150.00,"Grand Avenue at 63rd Avenue"
4769.00,"City of Glendale","Pressure",11/22/2010 0:00:00,"33 32 37.1","112 11 36.8",1150.00,"Grand Avenue at 63rd Avenue"
4770.00,"City of Glendale","Precip.",7/6/1989 0:00:00,"33 32 37.1","112 11 36.8",1150.00,"Grand Avenue at 63rd Avenue"
4772.00,"City of Glendale","Wind Dir.",11/22/2010 0:00:00,"33 32 37.1","112 11 36.8",1150.00,"Grand Avenue at 63rd Avenue"
4773.00,"City of Glendale","Wind Spd/Dir",11/22/2010 0:00:00,"33 32 37.1","112 11 36.8",1150.00,"Grand Avenue at 63rd Avenue"
4774.00,"City of Glendale","Peak Wind",11/22/2010 0:00:00,"33 32 37.1","112 11 36.8",1150.00,"Grand Avenue at 63rd Avenue"
4775.00,"Maryland Ave. @ 27th Ave.","Precip.",12/22/1994 0:00:00,"33 31 52.0","112 06 49.5",1170.00,"Near I-17, 1/2 mi. North of Bethany Home Rd."
4778.00,"Phoenix Dam 2B","Stream PT",6/30/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4780.00,"Missouri Ave. @ 16th St.","Precip.",1/17/1991 0:00:00,"33 30 57.9","112 02 53.6",1160.00,"SW corner of Missouri & 16th St."
4784.00,"Phoenix Dam 2B","Peak Wind",6/29/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4785.00,"Butler Park","Precip.",9/9/1998 0:00:00,"33 33 44.3","112 10 50.8",1175.00,"1/4 mile SE of 59th Ave. and Olive Ave."
4787.00,"Phoenix Dam 2B","Wind Dir.",6/29/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4789.00,"Phoenix Dam 2A","Stream PT",6/29/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4790.00,"Paradise Valley Country Club","Precip.",7/11/1989 0:00:00,"33 32 09.8","111 58 26.5",1360.00,"1/2 mi. North of Lincoln Dr. and Tatum Blvd."
4792.00,"Phoenix Dam 2B","Wind Spd/Dir",6/29/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4793.00,"Phoenix Dam 2B","Solar Rad.",6/29/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4794.00,"Phoenix Dam 2B","Dewpoint",6/29/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4795.00,"Phoenix Dam 2B","Precip.",6/29/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4796.00,"Phoenix Dam 2B","Humidity",6/29/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4797.00,"Phoenix Dam 2B","Temperature",6/29/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4798.00,"Phoenix Dam 2B","Pressure",6/29/2009 0:00:00,"33 36 13.2","112 03 52.7",1380.00,"Near Thunderbird and 7th St."
4800.00,"Dreamy Draw Dam","Precip.",1/24/1984 0:00:00,"33 33 43.8","112 01 53.6",1405.00,"1/4 mi. SSW of the 24th St. and Dunlap Ave. alignments"
4803.00,"Dreamy Draw Dam","Stream PT",11/16/1987 0:00:00,"33 33 43.8","112 01 53.6",1405.00,"1/4 mi. SSW of the 24th St. and Dunlap Ave. alignments"
4805.00,"ACDC @ 36th St.","Precip.",2/24/1994 0:00:00,"33 30 49.3","111 59 58.7",1250.00,"1/2 mi. North of 36th St. and Camelback Rd."
4807.00,"ACDC @ Dreamy Draw","Status",11/4/2009 0:00:00,"33 32 50.6","112 03 28.5",1235.00,"Arizona Canal near Northern Ave."
4808.00,"ACDC @ 36th St.","Stream PT",2/24/1994 0:00:00,"33 30 49.3","111 59 58.7",1250.00,"1/2 mi. North of 36th St. and Camelback Rd."
4810.00,"ACDC @ 14th St.","Precip.",2/9/1994 0:00:00,"33 32 37.3","112 03 05.1",1230.00,"1/2 mi. North of Glendale Ave. and 14th St."
4812.00,"ACDC @ 16th St.","Status",11/4/2009 0:00:00,"33 32 31.5","112 02 54.5",1240.00,"ACDC @ 16th St."
4813.00,"ACDC @ 14th St.","Stream PT",2/9/1994 0:00:00,"33 32 37.3","112 03 05.1",1230.00,"1/2 mi. North of Glendale Ave. and 14th St."
4815.00,"10th St. Wash Basin #1","Precip.",10/23/1996 0:00:00,"33 34 46.8","112 03 17.3",1320.00,"1/4 mi. SW of Peoria Ave. and Cave Creek Rd."
4818.00,"10th St. Wash Basin #1","Stream PT",11/26/1996 0:00:00,"33 34 46.8","112 03 17.3",1320.00,"1/4 mi. SW of Peoria Ave. and Cave Creek Rd."
4820.00,"ACDC @ 43rd Ave.","Precip.",11/14/1990 0:00:00,"33 35 02.4","112 09 15.3",1225.00,"1/4 mi. NW of Peoria Ave. and 43rd Ave."
4823.00,"ACDC @ 43rd Ave.","Stream PT",3/27/1991 0:00:00,"33 35 02.4","112 09 15.3",1225.00,"1/4 mi. NW of Peoria Ave. and 43rd Ave."
4825.00,"Phoenix Basin #3","Precip.",12/18/2001 0:00:00,"33 35 11.6","112 02 48.4",1365.00,"Cave Creek Road at 16th St."
4828.00,"Phoenix Basin #3","Stream PT",12/18/2001 0:00:00,"33 35 11.6","112 02 48.4",1365.00,"Cave Creek Road at 16th St."
4830.00,"Cave Creek @ Cactus Rd.","Precip.",7/13/1991 0:00:00,"33 35 58.9","112 06 43.3",1280.00,"1/4 mi. ENE of I-17 and Cactus Rd."
4833.00,"Cave Creek @ Cactus Rd.","Stream PT",8/13/1991 0:00:00,"33 35 58.9","112 06 43.3",1280.00,"1/4 mi. ENE of I-17 and Cactus Rd."
4835.00,"ACDC @ Cave Creek","Precip.",3/11/1997 0:00:00,"33 34 22.5","112 06 15.9",1230.00,"Mountain View Rd. near 23rd Ave."
4838.00,"Phoenix Dam #4","Stream PT",7/6/2009 0:00:00,"33 33 30.9","112 02 33.7",1310.00,"1/4 mi. NW of Northern Ave. & SR 51"
4840.00,"Greenway Rd. @ 32nd Ave.","Precip.",1/31/1991 0:00:00,"33 37 31.8","112 07 46.1",1295.00,"1/4 mi. East of Greenway Rd. and 35th Ave."
4843.00,"Phoenix Dam #99","Stream PT",7/7/2009 0:00:00,"33 34 29.5","112 00 51.9",1455.00,"32nd St. and SR 51"
4845.00,"Phoenix Dam #99","Precip.",7/7/2009 0:00:00,"33 34 29.5","112 00 51.9",1455.00,"32nd St. and SR 51"
4848.00,"Phoenix East Park","Stream PT",11/28/2001 0:00:00,"33 34 45.4","112 04 37.8",1345.00,"1/4 mile SE of 7th Ave. and Peoria"
4850.00,"Phoenix Basin #7","Precip.",10/17/1996 0:00:00,"33 36 04.7","112 04 21.4",1415.00,"1/8 mile SW of Thunderbird and 7th Street"
4853.00,"Phoenix Basin #7","Stream PT",12/3/2001 0:00:00,"33 36 04.7","112 04 21.4",1415.00,"1/8 mile SW of Thunderbird and 7th Street"
4855.00,"Phoenix West Park","Precip.",11/29/2001 0:00:00,"33 35 02.2","112 04 55.1",1315.00,"Peoria Ave. at 7th Ave."
4858.00,"Phoenix West Park","Stream PT",11/29/2001 0:00:00,"33 35 02.2","112 04 55.1",1315.00,"Peoria Ave. at 7th Ave."
4860.00,"Rawhide Wash","Precip.",7/22/1999 0:00:00,"33 44 28.2","111 53 53.3",2225.00,"1/3 mile west of Pima Rd. on Dynamite Blvd."
4863.00,"Rawhide Wash","Stream PT",7/26/1999 0:00:00,"33 44 28.2","111 53 53.3",2225.00,"1/3 mile west of Pima Rd. on Dynamite Blvd."
4869.00,"Desert Mtn. School","Peak Wind",7/19/2006 0:00:00,"33 48 33.6","112 04 37.8",1810.00,"1/4 mile SE of Cloud Rd. and 7th Ave."
4872.00,"Desert Mtn. School","Wind Spd/Dir",7/19/2006 0:00:00,"33 48 33.6","112 04 37.8",1810.00,"1/4 mile SE of Cloud Rd. and 7th Ave."
